model,mae,mae,mae,nll,nll,nll
,mean,std,count,mean,std,count
beta_ddpn_0.7,28.068,0.527,5,4.669,0.019,5
ddpn,28.102,0.753,5,4.673,0.018,5
dpo_glm,132.627,5.122,5,8.300,0.689,5
gaussian,38.708,2.599,5,4.957,0.046,5
immer,35.296,0.736,5,5.026,0.040,5
nbinom,33.671,7.747,5,4.736,0.095,5
nbinom_glm,190.026,0.000,5,10.828,0.091,5
poisson,27.659,0.307,5,5.796,0.033,5
poisson_glm,110.073,2.591,5,9.814,0.019,5
seitzer_0.5,28.382,0.661,5,4.723,0.017,5
stirn,28.702,0.799,5,4.883,0.054,5
