model,mae,mae,mae,nll,nll,nll
,mean,std,count,mean,std,count
beta_ddpn_0.5,0.302,0.003,5,1.531,0.530,5
ddpn,0.311,0.004,5,0.800,0.012,5
gaussian,0.326,0.011,5,0.834,0.092,5
immer,0.301,0.003,5,0.968,0.301,5
nbinom,0.746,0.088,5,1.711,0.003,5
poisson,0.609,0.038,5,1.705,0.002,5
seitzer_0.4,0.306,0.006,5,0.895,0.234,5
stirn,0.301,0.003,5,0.878,0.017,5
